序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
455,通信技术工程师,卫星总装工程师,10-15k,北京-海淀区,经验不限-大专,经验不限-大专,北京微纳星空科技有限公司,航空/航天设备-B轮-100-499人,北京-海淀区,航空/航天设备-B轮-100-499人,"岗位职责
1、根据卫星工艺文件进行整星装配，进行电缆走线固定，负责整星装配；
2、配合进行总装后的测试和试验；
3、负责卫星的转场保障和发射场的对接；
4、负责非标工装、工具、量具的设计、制图及投产；
5、负责进行单板的电装、单机的装配；
6、负责AIT厂房有关设备的维护；
7、负责与外协单位的沟通。
","任职要求
1、学历、专业：大专及以上，具有相关专业背景和工作经历；
2、工作经验：具有丰富的装配和检验经验，熟悉卫星平台；熟悉卫星总体构型布局设计、
管路电缆网布局设计；熟悉卫星总装集成设计、安装精度分配及测量、质量特性测量；
3、岗位技能：熟练应用三维软件、CAD等机械制图软件；
4、基本素质：具有团队合作精神和良好的沟通能力，抗压能力强"
456,通信技术工程师,卫星总装专家,20-40k,成都-武侯区,5-10年-大专,5-10年-大专,国星宇航,互联网-C轮-100-499人,成都-武侯区,互联网-C轮-100-499人,,
457,通信技术工程师,卫星导航定位工程师,15-22k,深圳,3-5年-统招本科,3-5年-统招本科,深圳市海伊石油技术有限公司,专业技术服务-1-49人,深圳,专业技术服务-1-49人,,
458,通信技术工程师,卫星导航基带算法工程师,14-22k·14薪,成都-高新区,3-5年-本科-跟踪算法-算法设计,3-5年-本科-跟踪算法-算法设计,华力创通,电子/半导体/集成电路-沪深A股上市-500-999人,成都-高新区,电子/半导体/集成电路-沪深A股上市-500-999人,"岗位职责：
1. 负责卫星导航基带信号捕获算法设计、实现和仿真；
2.参与卫星导航基带信号跟踪算法设计、实现和仿真；　
3. 参与卫星导航基带芯片架构设计、信号处理算法整体设计工作；
4. 参与卫星导航基带软件设计、实现、调试工作；
5. 参与卫星导航高灵敏度、高动态以及高精度应用等各种应用要求下的解决方案制定和实施；
","任职要求：
1. 导航、通信、测控相关专业本科或以上学历；
2. 3年以上导航或通信技术领域相关工作经验；
3. 熟练使用C、Matlab等程序语言和开发工具。"
459,通信技术工程师,卫星总师,60-90k·14薪,北京-海淀区,5-10年-硕士-卫星总体设计,5-10年-硕士-卫星总体设计,某北京通信设备公司,通信设备-融资未公开-100-499人,北京-海淀区,通信设备-融资未公开-100-499人,"岗位职责:
1、卫星总体系统分析与设计、任务仿真，可行性总体方案论证;
2、卫星总体方案设计，总体技术指标论证、分解与
验证;
3、卫星总体技术协调与技术状态控制，总体技术流程把控;
4、卫星规划研究和技术预研;
5、参与有效载荷总体设计与技术协调。

","任职资格:
1、飞行器设计、电子工程、控制、通信、力热工
程、光学工程、物理等相关专业，本科及以上学历，有较强的英文阅读能力;
2、具有卫星机、电、热等总体技术相关知识和能力，具有航天科研背景者优先;
3、具有较强的组织能力、任务和总体项目分析能
力;
4、具有较宽的知识面，工作认真，有高度的责任感和事业心;
5、具有良好的团队精神和沟通能力，有较强的执行力;
6、具备创新性思维，勇于开拓新技术，新领域和新的挑战;"
460,通信技术工程师,卫星总体设计师（上海）,20-50k,上海-徐汇区,5-10年-硕士-卫星-总体,5-10年-硕士-卫星-总体,国星宇航,互联网-C轮-100-499人,上海-徐汇区,互联网-C轮-100-499人,"岗位职责：
1.负责卫星总体方案设计，总体技术指标论证、分解与验证
2.负责卫星总体系统分析与设计、任务仿真，可行性总体方案论证
3.负责卫星总体技术协调与技术状态控制，编制总体技术流程
4.负责卫星各阶段设计工作项目梳理与分解


","任职要求：
1.飞行器设计、控制、力学、电子通信、航天相关专业，硕士及以上学历；
2.熟悉卫星研制总体流程，完整参加过一个型号研制；
3.具有航天相关工作经历5年以上。

"
461,通信技术工程师,大客户经理-卫星通信产品,10-20k·14薪,成都-高新区,3-5年-本科-物流运输-军工产品-智慧城市-通信/网络设备-市场洞察-客户管理-团队管理-经济学-渠道销售,3-5年-本科-物流运输-军工产品-智慧城市-通信/网络设备-市场洞察-客户管理-团队管理-经济学-渠道销售,星移联信,通信设备-1-49人,成都-高新区,通信设备-1-49人,,
462,通信技术工程师,卫星电源总体工程师,25-40k,北京-海淀区,3-5年-本科,3-5年-本科,九天微星,航空/航天设备-B轮-100-499人,北京-海淀区,航空/航天设备-B轮-100-499人,,
463,通信技术工程师,卫星任务设计,10-20k,北京-海淀区,3-5年-硕士,3-5年-硕士,未来宇航研究院,航空/航天设备-1-49人,北京-海淀区,航空/航天设备-1-49人,"职责描述：
1.独立完成双碳卫星需求分析与指标分析；
2.独立完成双碳卫星平台总体设计工作；
3.开展双碳卫星与运载、测控系统技术协调工作；
4.熟练使用Matlab、STK软件。

","任职资格：
①有卫星总体设计、轨道设计经验优先。							
②熟练使用Matlab、STK软件。							
③良好的技术协调与人际交流沟通能力。							
④了解对地观测卫星发展战略与技术发展趋势。							"
464,通信技术工程师,卫星通信专家,30-45k·18薪,天津-滨海新区,10年以上-硕士,10年以上-硕士,湖南中电星河电子有限公司,电子/半导体/集成电路-战略投资-100-499人,天津-滨海新区,电子/半导体/集成电路-战略投资-100-499人,"岗位描述：
1、负责卫星通信系统设计、仿真、集成、联调与测试；
2、负责卫星通信系统的无线通信协议（物理层、链路层、网络层等）总体设计、仿真、验证工作；
3、负责跟踪卫星通信系统的应用需求、模式和关键技术；
4、负责项目相关文档资料的编写工作；
5、本部门其他事宜及领导下发的各项任务。

","任职要求：
1、硕士及以上学历，导航、通信、电子信息等相关专业，博士学历优先；
2、具有卫星通信、无线通信、信号处理相关专业知识背景；
3、了解卫星通信系统、地面移动通信系统，有数字基带系统或通信网络相关项目设计经验，具有通信开发经验者优先；
4、掌握通信仿真软件、了解通信系统等系统仿真软件，了解使用通信系统常用测试设备，如频谱仪、矢量网络分析仪等；
5、具备较强的自学能力，具备主动沟通协调能力和团队合作精神；
6、精通无线通信协议原理和仿真，具备相关链路层协议、路由协议的设计、仿真、验证能力。"
