序号,岗位类别,岗位名称,薪酬,地点,学历要求,经验要求,企业名称,企业规模,所属地域,所属行业,岗位职责,岗位要求
40,算法工程师,Java工程师,薪资面议,深圳-龙岗区,3-5年-本科-Java-C++-C语言-Python-Golang-SQL-后端开发-Spring Boot-Spring Cloud,3-5年-本科-Java-C++-C语言-Python-Golang-SQL-后端开发-Spring Boot-Spring Cloud,华为,通信设备-10000人以上,深圳-龙岗区,通信设备-10000人以上,,
41,算法工程师,SDN Controller资深开发工程师,26-45k·15薪,武汉,5-10年-统招本科-需求分析-架构设计-SpringBoot-Spring-系统开发-Spring Cloud-PostgreSQL-Zookeeper-SpringMVC-SDN Controller,5-10年-统招本科-需求分析-架构设计-SpringBoot-Spring-系统开发-Spring Cloud-PostgreSQL-Zookeeper-SpringMVC-SDN Controller,某知名通信上市公司,通信设备-已上市-2000-5000人,武汉,通信设备-已上市-2000-5000人,"岗位描述：
1. 负责数据中心、园区交换机SDN Controller软件的设计与开发工作；
2. 负责参与平台系统的架构分析，按照架构设计完成子系统的设计与开发工作。
3. 负责参与平台系统的研发工作，承担核心功能模块需求分析、设计和编码工作。

","岗位要求：
1. 计算机及相关专业教育背景，3年以上java工作经验。
2. 有丰富的通信SDN Controller软件开发经验，对数据中心、园区交换机SDN应用场景有深刻的认识。
3. 熟悉常用数据结构与算法，具备良好的面向对象设计能力和编程习惯。
4. 熟练掌握Spring框架，精通springmvc开发，熟悉Spring Cloud和springboot优先。
5. 熟悉分布式中间件（zuul、zookeeper等）、常用消息中间件（MQ）/缓存中间件（reids）中的一种。
6. 熟悉mysql/postgresql等常见数据库的基本原理以及适用场景，熟悉数据库技术与设计，如分库分表，分布式数据库，读写分离等。
7. 对多线程，并发编程，异步IO等高可用设计有熟悉者优先。
8. 责任心强，具有较强的学习能力和团队合作意识，良好的沟通能力. 方案设计和撰写能力。"
42,算法工程师,Java后台开发工程师-广告投放平台方向-社招,20-50k·15薪,北京-朝阳区,1-3年-本科-架构设计-系统开发-前端开发-Redis-MySQL-消息队列-Golang,1-3年-本科-架构设计-系统开发-前端开发-Redis-MySQL-消息队列-Golang,美团网,生活服务O2O-港股上市-10000人以上,北京-朝阳区,生活服务O2O-港股上市-10000人以上,,
43,算法工程师,嵌入式软件工程师,薪资面议,深圳-福田区,经验不限-本科-嵌入式软件开发,经验不限-本科-嵌入式软件开发,香港应用科技研究院,电子/半导体/集成电路-500-999人,深圳-福田区,电子/半导体/集成电路-500-999人,"Ref. ID:  CEO/ICS/SPES/1266

主要职责：
-  负责储能变流器、控制器相关软件的需求分析、详细设计；
-  负责控制策略研究及控制算法的仿真验证；
-  负责软件开发与调试改进（包括BMS的通信、电池容量算法、控制逻辑设计、通信接口及显示界面等的开发）；
- 融合操作系统、电气、硬件等方面，进行系统地开发和验证；
-  根据开发流程编写相关软件技术报告

","任职要求：
-  本科及以上学历，电子、通讯、计算机、自动化等相关专业（有实际能力者不限专业）；
-  具备扎实的自动控制、信号处理、电路理论、数据结构与算法等基础知识，和良好的数学基础；
-  具有光伏逆变器，PCS储能变流器、PWM整流器等相关的软件设计经验，熟悉 EMS和BMS，精通C/C++和嵌入式软件开发流程；
-  具备逆变器、变流器或UPS等产品控制系统的开发经验，熟悉控制方法和控制算法；
-  熟悉上位机编程软件，了解串口、CAN、以太网的软件开发；
-  拥有良好的编程风格与文档编制能力，良好的沟通与表达能力；
-  能够熟练阅读并理解英文技术资料，学习能力强，能快速学习掌握新技术
"
44,算法工程师,高级Java工程师,15-25k·14薪,武汉-汉阳区,3-5年-统招本科-系统开发-大数据领域-架构设计,3-5年-统招本科-系统开发-大数据领域-架构设计,某武汉制药上市公司,制药-已上市-10000人以上,武汉-汉阳区,制药-已上市-10000人以上,"工作职责
1、负责基础架构研发或各类应用系统的需求分析、设计、开发等工作；
2、评估系统实现难度，提供可行性方案；
3、结合实际业务需要，主导、参与新技术、新课题的研究与开发；
4、善于分析系统问题，持续提升优化系统性能，保证系统运行的安全、稳定与效率；
5、负责或参与初级工程师的指导、培训，把控项目推进的时效与质量；
6、对现存或未来系统进行思考与规划，提供统一的框架、平台或组件方案；
7、高效完成应用系统的设计、开发、调优等工作并输出标准文档。
","任职要求
1、本科及以上学历，计算机相关专业,5年以上java开发工作经验；
2、具有物流供应链相关系统开发经验，具备成熟的物流供应链相关解决方案；
3、要有深度参与多线程、分布式、高并发、高负载、高可用性、系统调优的相关经验；
4、要有saas平台0到1的研发经验，能独立分析和解决问题；
5、优化过复杂sql，处理过千万级别数据；
6、具备springcloud+springboot微服务开发经验，具有一二线大厂经历；
7、掌握Java语言，包括基本语法、数据类型、流程控制、面向对象编程、泛型编程、异常处理等知识；
8、熟悉Java的常用设计模式，能够根据实际需求选择合适的设计模式并进行应用；
9、熟悉常用的数据库系统，能够进行数据库设计和SQL；
10、掌握数据结构与算法；
11、掌握分布式理论知识、缓存、消息、RPC等工具的用法和原理；
12、设计文档和接口文档编写能力；
13、业务理解能力、团队沟通协作能力。"
45,算法工程师,高级研发工程师,20-30k,武汉,5-10年-统招本科-SpringCloud-SpringBoot-Java-SQL,5-10年-统招本科-SpringCloud-SpringBoot-Java-SQL,某武汉知名上市公司,制药-已上市-10000人以上,武汉,制药-已上市-10000人以上,"1、负责基础架构研发或各类应用系统的需求分析、设计、开发等工作；
2、评估系统实现难度，提供可行性方案；
3、结合实际业务需要，主导、参与新技术、新课题的研究与开发；
4、善于分析系统问题，持续提升优化系统性能，保证系统运行的安全、稳定与效率；
5、负责或参与初级工程师的指导、培训，把控项目推进的时效与质量；
6、对现存或未来系统进行思考与规划，提供统一的框架、平台或组件方案；
7、高效完成应用系统的设计、开发、调优等工作并输出标准文档。
","任职要求
1、本科及以上学历，计算机相关专业,5年以上java开发工作经验；
2、具有物流供应链相关系统开发经验，具备成熟的物流供应链相关解决方案；
3、要有深度参与多线程、分布式、高并发、高负载、高可用性、系统调优的相关经验；
4、要有saas平台0到1的研发经验，能独立分析和解决问题；
5、优化过复杂sql，处理过千万级别数据；
6、具备springcloud+springboot微服务开发经验，具有一二线大厂经历；
7、掌握Java语言，包括基本语法、数据类型、流程控制、面向对象编程、泛型编程、异常处理等知识；
8、熟悉Java的常用设计模式，能够根据实际需求选择合适的设计模式并进行应用；
9、熟悉常用的数据库系统，能够进行数据库设计和SQL；
10、掌握数据结构与算法；
11、掌握分布式理论知识、缓存、消息、RPC等工具的用法和原理；
12、设计文档和接口文档编写能力；
13、业务理解能力、团队沟通协作能力。"
46,算法工程师,研发高级工程师（Java开发）,40-50k·13薪,北京,5-10年-统招本科-系统开发,5-10年-统招本科-系统开发,某知名saas企业,互联网/电商-C轮-500-999人,北京,互联网/电商-C轮-500-999人,"岗位职责：
1、参与和负责结算SaaS等系统设计与开发；
2、按时、独立、高质量地完成工作，确保相关代码逻辑的健壮性与正确性；
3、独立完成部分系统的系统分析以及详细的系统设计文档的撰写；
","任职要求：
1、本科及以上学历，计算机相关专业；数据结构与算法基础扎实；
2、5年及以上Java开发经验，有支付、结算相关经验优先；
3、熟练掌握 Spring Boot、MySQL、Redis、MQ等技术；熟练使用K8S更佳；
4、熟练掌握软件开发流程，具备良好的系统分析和设计能力；编程规范，有技术热情；"
47,算法工程师,java开发工程师,15-30k·14薪,北京,1-3年-统招本科-Java-Python-C语言-C++-XHTML-Spring-Spring Boot-Javassist-Spring MVC-IT/信息化领域,1-3年-统招本科-Java-Python-C语言-C++-XHTML-Spring-Spring Boot-Javassist-Spring MVC-IT/信息化领域,某上海大型专业服务公司,专业技术服务-融资未公开-10000人以上,北京,专业技术服务-融资未公开-10000人以上,,
48,算法工程师,Go开发工程师,22-35k·13薪,长春-净月区,5-10年-统招本科-后端开发-网络开发-架构设计-Golang-LabVIEW-C++,5-10年-统招本科-后端开发-网络开发-架构设计-Golang-LabVIEW-C++,某国内互联网上市公司,互联网-已上市-50-99人,长春-净月区,互联网-已上市-50-99人," 岗位职责：
1、负责项目的设计架构与业务目标，参与设计并实现高稳定高并发高可用Web后端RPC服务组件；
2、参与需求评审和实现设计，与其他岗位成员配合将需求完成落地；
3、具备结果导向思维，明确业务上线目的，保障负责模块高效、稳定的运行；
4、具有较强的安全意识，保护好各类线上环境的密钥、登录凭证、连接地址等敏感信息；
5、参与项目的实施对接，过程中自己负责的时间段内应做到及时回应、及时响应、及时处理。
","任职要求：
1、5年以上后端开发经验，至少3年以上Golang公司项目开发经验；
2、精通Go语言、了解其runtime、协程、GC、Channel等内部机制，对Linux操作系统有较深理解；
3、数学或计算机相关专业出身，有较强的数据结构与算法功底，充分理解TCP/UDP、HTTP等网络协议内容；
4、熟悉后端开发中常用架构（如微服务、服务网格等），熟练使用常用中间件于开发工具；
5、有C/C++项目经验者优先；"
49,算法工程师,c#开发工程师(中级）,13-24k,北京-朝阳区,3-5年-统招本科-MFC-C++,3-5年-统招本科-MFC-C++,东方仿真软件,计算机软件-100-499人,北京-朝阳区,计算机软件-100-499人,"一、职位描述
使用C#进行仿真软件平台的研究开发和仿DCS系统的开发（WinForm程序）

二、","任职要求：
1、精通C#。
2、精通Winform开发。
3、熟悉GDI/GDI+、Direct2D。
4、熟悉常用数据结构与算法。
5、熟悉多线程、TCP/UDP。
6、熟悉Windows API及P/Invoke。
7、熟悉面向对象分析与设计。
8、理解C++。
9、了解MFC、ActiveX/COM/DCOM。
10、有良好的编程风格。
11、有较强的逻辑思维能力、学习能力。。
三、福利及补助
1、工作日公司有免费工作餐及加班餐；
2、补充医疗；
3、上班时间：9:00—17:30，周末双休；
4、工作时间满一年以上员工，可享受每年5天（或以上）带薪年休假及员工体检福利；
5、定期团队建设活动（拓展活动、聚餐、观影活动）；
6、员工关爱计划（生育贺礼、节日贺礼、公司年会等）；
7、外阜员工，符合条件可办理北京居住证；
8、五险一金、定期团建；
9、晋升空间(助理、专员、主管、经理)；
10、工作环境好、扁平化管理、开放交流分享；"
50,算法工程师,高薪Java/python/c++/c/js/全额社保/双休16薪,18-35k·16薪,西安,经验不限-本科-网络开发-C++-Java-C/C++-C语言-Linux,经验不限-本科-网络开发-C++-Java-C/C++-C语言-Linux,某知名公司,通信设备-融资未公开-10000人以上,西安,通信设备-融资未公开-10000人以上,,
51,算法工程师,java开发工程师,15-30k·14薪,西安,1-3年-统招本科-Java-Python-C语言-C++-XHTML-Spring-Spring Boot-Javassist-Spring MVC-IT/信息化领域,1-3年-统招本科-Java-Python-C语言-C++-XHTML-Spring-Spring Boot-Javassist-Spring MVC-IT/信息化领域,某上海大型专业服务公司,专业技术服务-融资未公开-10000人以上,西安,专业技术服务-融资未公开-10000人以上,,
52,算法工程师,资深Java开发工程师（深圳）,40-55k·15薪,深圳-南山区,5-10年-本科-模块开发-功能开发-架构设计-框架设计-框架开发-Java-MySQL,5-10年-本科-模块开发-功能开发-架构设计-框架设计-框架开发-Java-MySQL,滴普科技,互联网-B轮-500-999人,深圳-南山区,互联网-B轮-500-999人,"工作职责
1.参与DataFacts产品的技术调研工作
2.参与DataFacts产品架构设计和设计文档编写
3.参与DataFacts产品功能研发实现
4.参与DataFacts产品需求评审、设计评审和代码Review
5.负责核心功能模块开发，承担技术问题攻关
6.负责数据安全技术方案设计与功能研发实现

","任职资格
1.本科及以上学历，计算机、软件相关专业，扎实的计算机专业基本功，具备较强的编程能力素质和质量意识
2.具备扎实的Java、MySQL，大数据基础知识
3.熟悉常用的数据结构、算法与设计模式
4.7年以上Java开发经验，5年以上技术架构经验，精通Java及面向对象设计开发，熟悉JDK源码，研究过优秀开源软件的源码并有心得者优先
5.熟悉常用中间件及微服务框架，了解底层原理，如Dubbo、Spring Cloud、Docker、Redis、Kafka、ElasticSearch等，参与过开源产品的二次开发者优先
6.熟悉分布式，微服务相关理论，有参与过大型高并发，高可用项目者优先
7.有较强的逻辑思维能力，善于分析、归纳、解决问题，能够独立完成任务开发与指导他人能力
8.有成熟数据安全技术方案，熟悉Hadoop、HBase、Spark、Flink、Ranger、Sentry等相关技术者优先"
53,算法工程师,CDN节点研发工程师,30-40k,北京,5-10年-学历不限-模块开发,5-10年-学历不限-模块开发,某北京大型计算机软件公司,计算机软件-A轮-1000-2000人,北京,计算机软件-A轮-1000-2000人,,
54,算法工程师,高级研发工程师,20-30k,武汉,经验不限-统招本科-大数据领域-架构设计-系统开发,经验不限-统招本科-大数据领域-架构设计-系统开发,某武汉制药上市公司,制药-已上市-10000人以上,武汉,制药-已上市-10000人以上,"工作职责
1、负责基础架构研发或各类应用系统的需求分析、设计、开发等工作；
2、评估系统实现难度，提供可行性方案；
3、结合实际业务需要，主导、参与新技术、新课题的研究与开发；
4、善于分析系统问题，持续提升优化系统性能，保证系统运行的安全、稳定与效率；
5、负责或参与初级工程师的指导、培训，把控项目推进的时效与质量；
6、对现存或未来系统进行思考与规划，提供统一的框架、平台或组件方案；
7、高效完成应用系统的设计、开发、调优等工作并输出标准文档。
","任职要求
1、本科及以上学历，计算机相关专业,5年以上java开发工作经验；
2、具有物流供应链相关系统开发经验，具备成熟的物流供应链相关解决方案；
3、要有深度参与多线程、分布式、高并发、高负载、高可用性、系统调优的相关经验；
4、要有saas平台0到1的研发经验，能独立分析和解决问题；
5、优化过复杂sql，处理过千万级别数据；
6、具备springcloud+springboot微服务开发经验，具有一二线大厂经历；
7、掌握Java语言，包括基本语法、数据类型、流程控制、面向对象编程、泛型编程、异常处理等知识；
8、熟悉Java的常用设计模式，能够根据实际需求选择合适的设计模式并进行应用；
9、熟悉常用的数据库系统，能够进行数据库设计和SQL；
10、掌握数据结构与算法；
11、掌握分布式理论知识、缓存、消息、RPC等工具的用法和原理；
12、设计文档和接口文档编写能力；
13、业务理解能力、团队沟通协作能力。"
